"Forum","BadUsers","TotalUsers","BadPosts","TotalPosts"
"anime",54,34920,1161,30842
"beer",6,7247,75,3579
"bicycles",31,39275,1536,55464
"chess",45,20859,651,23663
"christianity",59,29419,2659,43394
"cooking",53,61047,3069,81952
"diy",45,91042,2755,156550
"history",70,32092,1909,37711
"homebrew",5,10924,225,19990
"judaism",35,14388,3709,86053
"lifehacks",42,24103,514,13335
"money",100,74377,3004,92644
"movies",87,60338,2420,58334
"music",30,52648,1764,75017
"photo",44,64724,2633,86835
"rpg",52,49480,5605,139993
"workplace",188,90512,8009,121382
"worldbuilding",95,65836,4159,163031
